"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Armazém da Cerveja - São Carlos 2",-22.0277087,-47.8997771,"39 mins",2345,"2.9 km",2910
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mosteiro Cervejaria",-22.0027137,-47.8740145,"39 mins",2355,"3.0 km",2984
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Kirchen",-22.0028063,-47.9026713,"15 mins",901,"1.2 km",1222
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Micaela Rosa",-22.0120822,-47.8869719,"21 mins",1269,"1.6 km",1650
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pronto Socorro das Bebidas (P.S.)",-22.0253832,-47.8895766,"35 mins",2078,"2.7 km",2672
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Avenida 42 - Tap House São Carlos",-22.0145127,-47.8925725,"16 mins",954,"1.3 km",1289
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bonde Bebidas",-22.0113219,-47.8718846,"43 mins",2585,"3.3 km",3312
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"A Fábrica Gastro Beer",-22.0105823,-47.8904559,"15 mins",901,"1.1 km",1142
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Vitruviana",-22.019783,-47.8935161,"21 mins",1230,"1.7 km",1658
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Empório Pellegrini Gastronomia Árabe",-22.0195306,-47.8874736,"30 mins",1788,"2.4 km",2403
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria República",-22.0094022,-47.8980353,"6 mins",359,"0.5 km",494
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Vitruviana",-22.019821,-47.893572,"21 mins",1230,"1.7 km",1658
