"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Domino's Pizza",-22.0049755,-47.8912482,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bella Capri - São Carlos",-22.0130811,-47.8856785,"24 mins",1446,"1.9 km",1885
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Forno Brasile",-22.0094904,-47.8916784,"12 mins",718,"0.9 km",917
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Citta Della",-21.9992962,-47.892047,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Amici Pizza & Cibo",-22.0122083,-47.8979739,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Picanha na Tábua Churrascaria e Pizzaria",-22.0014763,-47.9000168,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"PIZZARINI",-22.0160522,-47.896941,"24 mins",1446,"1.9 km",1885
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzeria Monte Carlo - San Carlos",-22.012351,-47.892387,"12 mins",718,"0.9 km",917
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Dona Redonda",-22.0120369,-47.8868719,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Ravenna Pizzaria & Lanchonete",-22.0000203,-47.9008884,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Achei Pizza",-22.0075938,-47.8898109,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Florença",-22.0175917,-47.894644,"24 mins",1446,"1.9 km",1885
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pitcho Pizzaria e Delivery",-22.0158596,-47.8925671,"12 mins",718,"0.9 km",917
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Florença Delivery",-22.01235,-47.8848439,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Neapolitan Pizzaria",-21.9970945,-47.891305,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Liga'ki Pizzaria e Petiscos",-22.0097176,-47.8981465,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizza Katzo!",-22.0115746,-47.8947065,"24 mins",1446,"1.9 km",1885
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Lanche Bom",-22.0058175,-47.8954816,"12 mins",718,"0.9 km",917
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Divino Lanches, Pizzaria e Açaí",-21.9978608,-47.8984246,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Nobre - Restaurante E Pizzaria",-22.0097977,-47.8897948,NA,NA,NA,NA
