"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Warehouse Beer San Carlos",-22.0062962,-47.9034966,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Seo Gera",-22.0088028,-47.8917914,"10 mins",623,"0.8 km",805
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mestre-Cervejeiro.com",-22.0115851,-47.8902744,"6 days 20 hours",590409,"805 km",804719
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Kirchen",-22.0028063,-47.9026713,"15 mins",901,"1.2 km",1222
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Da Cerveja Carvão, Gelo e Bebidas em geral",-21.9968206,-47.8843473,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Micaela Rosa",-22.0120822,-47.8869719,"21 mins",1269,"1.6 km",1650
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Restaurante Quiosque Bar E Cervejaria",-22.0176158,-47.9069205,"29 mins",1749,"2.4 km",2413
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Avenida 42 - Tap House São Carlos",-22.0145127,-47.8925725,"16 mins",954,"1.3 km",1289
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria República",-22.0094022,-47.8980353,"6 mins",359,"0.5 km",494
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Rola Papo Choperia",-22.0169515,-47.8882477,"25 mins",1512,"2.0 km",2022
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Base",-22.0140674,-47.8857252,"25 mins",1512,"2.0 km",1973
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"A Fábrica Gastro Beer",-22.0105823,-47.8904559,"15 mins",901,"1.1 km",1142
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Empório Sete Jarros",-22.0159005,-47.8866946,"26 mins",1572,"2.1 km",2079
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Almanach Bar e Restaurante",-22.0126037,-47.8907314,"17 mins",991,"1.3 km",1287
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Boteco Santa Teresa",-22.0107754,-47.8937559,"12 mins",695,"0.9 km",924
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Hopped - Cervejas Artesanais",-22.0175272,-47.8877898,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Três Marias - Baurus, porções e cervejas",-22.000578,-47.8948036,"14 mins",830,"1.1 km",1127
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"KOLA - KI BAR E PETISCARIA",-22.0071606,-47.8907089,"11 mins",676,"0.9 km",894
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Chopp Villa Alemã Adega Beer",-22.0026107,-47.8908832,"14 mins",815,"1.1 km",1094
