"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Cervejaria Wals",-19.8796138,-43.9625922,"29 mins",1715,"2.1 km",2076
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Cervejaria Backer",-19.8903026,-43.9680163,"51 mins",3083,"3.8 km",3839
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Lamas Brew Shop BH",-19.9301608,-43.9408209,"1 hour 49 mins",6526,"8.2 km",8186
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Craft Station Cervejas Especiais Savassi",-19.937332,-43.937995,"2 hours 1 min",7234,"9.1 km",9085
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Cabral's bar",-19.8622222,-43.9580556,"16 mins",953,"1.3 km",1299
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Hofbräuhaus Belo Horizonte",-19.9356097,-43.9471964,"1 hour 56 mins",6987,"8.8 km",8791
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Protótipo",-19.9130173,-43.9197098,NA,NA,NA,NA
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Uaimií - Brewery Farm",-19.9508143,-43.9350879,NA,NA,NA,NA
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Espaço Artéza",-19.928479,-43.960513,"1 hour 56 mins",6960,"8.7 km",8682
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Juramento 202 - Cervejaria Viela",-19.917025,-43.903614,"2 hours 14 mins",8065,"10.4 km",10373
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Mestre-Cervejeiro.com",-19.9522226,-43.9230994,"6 days 4 hours",534493,"731 km",730818
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Jaeh Bar e Restaurante",-19.8569385,-43.9577555,"25 mins",1490,"2.0 km",1978
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"La Palma Restaurante, Pizzaria e Cervejaria",-19.8555556,-43.9569444,"27 mins",1602,"2.1 km",2135
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Krug Bier",-19.9420627,-43.9362601,"2 hours 10 mins",7828,"9.7 km",9728
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Prainha's Bar",-19.8624693,-43.9528238,NA,NA,NA,NA
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Tokyo Pampulha",-19.8602594,-43.9684732,"21 mins",1232,"1.5 km",1501
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Bar do Chico",-19.8683243,-43.9809364,NA,NA,NA,NA
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Bar Aunt Ruth",-19.8669582,-43.9818335,NA,NA,NA,NA
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Clube do espeto",-19.8736244,-43.9777625,"21 days 16 hours",1871234,"2,579 km",2578519
"Departamento de Ciência da Computação - ICEx - UFMG",-19.869588,-43.964653,"Arena Espeteria Sport Bar",-19.8438102,-43.9596858,"54 mins",3236,"4.3 km",4276
