"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Warehouse Beer San Carlos",-22.0062962,-47.9034966,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Água Doce Cachaçaria - São Carlos",-22.0153959,-47.8929551,"17 mins",1016,"1.4 km",1387
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Habib's",-22.0040119,-47.8955049,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"V8 Distribuidora",-21.9997925,-47.90109,"18 mins",1082,"1.5 km",1543
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Empório das Massas",-22.0106732,-47.8924234,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Hamburgueria São Carlos",-22.0116228,-47.8947187,"9 mins",563,"0.8 km",751
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Brasil bebidas",-22.0023884,-47.8873538,"22 days 8 hours",1930403,"2,649 km",2649369
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Marmitaria Santa Comida",-22.0169243,-47.8856271,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Restaurante São Carlos",-22.0160714,-47.8888624,"23 mins",1394,"1.9 km",1855
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Restaurante Frei Damião",-22.0155962,-47.8925083,"17 mins",1031,"1.4 km",1410
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mandala Distribuidora",-22.0048157,-47.8879282,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Macarronato",-22.0065842,-47.8908005,"10 mins",616,"0.8 km",830
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mercearia 3M",-22.0178357,-47.8831011,"33 mins",2003,"2.7 km",2653
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Leve Fácil",-22.006967,-47.8898465,"9 hours 23 mins",33786,"46.5 km",46527
