"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário 24h - Loja 04 - Ligue Rosário",-22.0155734,-47.8905272,"20 mins",1221,"1.6 km",1618
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmais São Carlos",-22.0031778,-47.9141879,"35 mins",2076,"2.6 km",2584
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Ipanema",-22.0208578,-47.8905057,"26 mins",1553,"2.1 km",2065
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Ipanema",-22.0160116,-47.8804873,"26 mins",1553,"2.1 km",2065
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Rosario pharmacy and drugstores",-22.0124459,-47.8910055,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia De Manipulação Kalmia",-22.0112085,-47.886496,"21 mins",1234,"1.6 km",1603
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário - Loja 05 - Vila Prado",-22.0306983,-47.8980715,"44 mins",2620,"3.3 km",3284
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Ligue Rosário",-22.0156006,-47.8904752,"20 mins",1223,"1.6 km",1621
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácias Nissei",-22.0149774,-47.8906749,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Magistral",-22.0268044,-47.9004316,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Drogaria São Paulo",-22.0124821,-47.8906766,"14 days 17 hours",1271682,"1,732 km",1732366
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"MultiDrogas",-22.0027117,-47.8800725,"61 days 11 hours",5310008,"7,257 km",7257341
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"DROGARIA SÃO PAULO",-22.0001517,-47.9069727,"14 days 17 hours",1271682,"1,732 km",1732366
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Amazon",-22.0193418,-47.8937652,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Raízes Homeopatia Manipulação",-22.0258675,-47.9078074,"1 day 16 hours",144620,"193 km",192974
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Drogaria Total - Unidade Droga Rio IV",-22.0005299,-47.9182731,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Drogaria Orlandi",-22.025138,-47.903101,"35 mins",2102,"2.6 km",2616
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pharma Acácia Farmácia de Manipulação e Homeopatia",-22.0146231,-47.8928437,"2 days 8 hours",199996,"266 km",265753
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário - Loja 12 - Santa Felícia",-21.9974345,-47.9154351,"36 mins",2142,"2.7 km",2740
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Calêndula",-22.0122703,-47.8941369,"11 mins",681,"0.9 km",914
