"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário 24h - Loja 04 - Ligue Rosário",-22.0155734,-47.8905272,"20 mins",1221,"1.6 km",1618
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"DROGARIA SÃO PAULO",-22.0001517,-47.9069727,"14 days 17 hours",1271682,"1,732 km",1732366
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Drogaria São Paulo",-22.0124821,-47.8906766,"14 days 17 hours",1271682,"1,732 km",1732366
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Nossa Senhora Rosário",-22.0021056,-47.8909325,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácias Nissei",-22.0149774,-47.8906749,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Amazon",-22.0193418,-47.8937652,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pharmacy Our Lady of the Rosary",-22.0124008,-47.8726274,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Rosario Farmácia Drogarias",-22.0112768,-47.8900134,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Droga Raia",-22.0115918,-47.8911282,"21 days 3 hours",1825048,"2,487 km",2486992
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Magistral",-22.0103614,-47.890311,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácias Pague Menos",-22.0193169,-47.8909333,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Droga Raia",-22.0116174,-47.8963726,"21 days 3 hours",1825048,"2,487 km",2486992
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Rosario pharmacy and drugstores",-22.0124459,-47.8910055,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"MultiDrogas",-22.0027117,-47.8800725,"61 days 11 hours",5310008,"7,257 km",7257341
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Ipanema",-22.0208578,-47.8905057,"26 mins",1553,"2.1 km",2065
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário - Loja 05 - Vila Prado",-22.0306983,-47.8980715,"44 mins",2620,"3.3 km",3284
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmais São Carlos",-22.0031778,-47.9141879,"35 mins",2076,"2.6 km",2584
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Droga Raia",-22.0165976,-47.8908096,"21 days 3 hours",1825048,"2,487 km",2486992
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia De Manipulação Kalmia",-22.0112085,-47.886496,"21 mins",1234,"1.6 km",1603
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farma Flex Farmácia E Drogaria",-21.993087,-47.8880503,NA,NA,NA,NA
