"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Nossa Senhora Rosário",-22.0021056,-47.8909325,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farma Flex Farmácia E Drogaria",-21.993087,-47.8880503,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Droga Raia",-22.0115918,-47.8911282,"21 days 3 hours",1825048,"2,487 km",2486992
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Calêndula",-22.0122703,-47.8941369,"11 mins",681,"0.9 km",914
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácias Nissei",-22.0149774,-47.8906749,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Rosario Farmácia Drogarias",-22.0112768,-47.8900134,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário 24h - Loja 04 - Ligue Rosário",-22.0155734,-47.8905272,"20 mins",1221,"1.6 km",1618
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Amazon",-22.0193418,-47.8937652,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Acquativa",-22.008763,-47.900494,"8 mins",490,"0.7 km",692
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Nova Estância Drugstore",-21.9996044,-47.8791338,"34 mins",2019,"2.6 km",2582
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Rosario pharmacy and drugstores",-22.0124459,-47.8910055,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Ipanema",-22.0208578,-47.8905057,"26 mins",1553,"2.1 km",2065
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"MultiDrogas",-22.0027117,-47.8800725,"61 days 11 hours",5310008,"7,257 km",7257341
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário - Loja 02 - USP",-22.0115599,-47.8969262,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Rosário - Loja 20 - Paulistano",-21.9939098,-47.8977385,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Magistral",-22.0103614,-47.890311,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia De Manipulação Kalmia",-22.0112085,-47.886496,"21 mins",1234,"1.6 km",1603
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácias Pague Menos",-22.0193169,-47.8909333,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmacia N. Sra Rosario L29",-21.9938962,-47.8900636,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Farmácia Natureza",-22.0188191,-47.8908368,NA,NA,NA,NA
