"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Extra Hipermercado - São Carlos",-22.0173433,-47.9151741,"41 mins",2465,"3.3 km",3290
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Carrefour Bairro Sao Carlos",-22.001492,-47.8903709,"15 mins",927,"1.2 km",1216
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"COGEB Supermercado",-22.0124342,-47.8835252,"26 mins",1544,"2.0 km",2004
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Supermarket Jau Serve",-22.004746,-47.8904675,"10 mins",613,"0.9 km",858
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Supermercado Arco Íris",-22.0026921,-47.9024333,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Compre Bem",-22.0135713,-47.8936431,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"DIA Supermercado",-22.017474,-47.8908625,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Jaú Serve Supermercados - Loja 18",-21.9997036,-47.8913569,"18 mins",1050,"1.4 km",1408
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Savegnago Supermarket - Store 33",-22.0047751,-47.9048358,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Savegnago Supermercados - Loja 29",-22.0315297,-47.8915804,"39 mins",2321,"3.0 km",3003
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Serv Bem Supermercados - Loja 01",-22.0001599,-47.8860079,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Paraná Supermercado",-22.004281,-47.8738602,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Jaú Serve Supermercados",-22.0214568,-47.8963687,"18 hours 16 mins",65760,"89.0 km",89013
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Tonin Superatacado",-21.9902275,-47.9198447,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Jau Serve Supermarkets",-22.0116736,-47.8727154,"18 hours 16 mins",65760,"89.0 km",89013
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Supermercado Dia",-22.0011883,-47.9008498,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Supermarket Jau Serve",-22.0139232,-47.8881143,"10 mins",613,"0.9 km",858
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Sempre Vale Supermercados",-22.0223432,-47.8897067,"9 hours 48 mins",35301,"48.3 km",48294
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Supermercado JHP",-21.9947449,-47.919421,"42 mins",2498,"3.2 km",3205
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Savegnago Supermercados - Loja 35",-22.0238456,-47.8802179,"43 mins",2553,"3.4 km",3386
