"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mercearia 3M",-22.0178357,-47.8831011,"33 mins",2003,"2.7 km",2653
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Savegnago Supermarket - Store 33",-22.0047751,-47.9048358,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mercearia Solfa",-22.0233839,-47.8865591,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Thenen",-21.9968995,-47.8971961,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Shizen Bomboniere e Produtos Orientais",-22.0199477,-47.8912282,"24 mins",1465,"2.0 km",2015
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Compre Bem",-22.0135713,-47.8936431,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"O Varejão Da Fartura Jd Botafogo",-22.0260246,-47.9119171,"44 mins",2659,"3.5 km",3493
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Casa De Frios Per Tutti",-21.9914143,-47.8971745,"27 mins",1643,"2.2 km",2160
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Sacolão Okino Comercial",-22.000438,-47.8976656,"13 mins",784,"1.1 km",1099
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Savegnago Supermercados - Loja 35",-22.0238456,-47.8802179,"43 mins",2553,"3.4 km",3386
