"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Padaria Belo Pao",-22.0008444,-47.9058193,"6 days 23 hours",600472,"819 km",818558
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Padaria Pão do Bairro de São Carlos",-22.0186358,-47.8853779,"31 mins",1887,"2.5 km",2519
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pães Artesanais Helena",-21.9983772,-47.9015858,"20 mins",1171,"1.7 km",1654
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Casa Do Pão & Cia",-22.0051416,-47.8888775,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"PQ Pao De Queijo Mineiro",-22.0201874,-47.892768,"6 days 23 hours",600472,"819 km",818558
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pao De Queijo Mineiro",-22.0022483,-47.903241,"31 mins",1887,"2.5 km",2519
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"PQ Pao De Queijo Mineiro",-22.0106066,-47.8909924,"20 mins",1171,"1.7 km",1654
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pão de Queijo Mineiro",-22.0114119,-47.9001571,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Padaria Nosso Pão",-22.0293216,-47.8764585,"6 days 23 hours",600472,"819 km",818558
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pão de Queijo Mineiro",-22.017747,-47.8895904,"31 mins",1887,"2.5 km",2519
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Panificadora Pão de Mel",-22.0251557,-47.9028674,"20 mins",1171,"1.7 km",1654
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Padaria Planalto São Carlos",-22.0031504,-47.9143533,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pao de Queijo Mineiro",-22.0105562,-47.8911238,"6 days 23 hours",600472,"819 km",818558
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Restaurante Quiosque",-22.003898,-47.8977708,"31 mins",1887,"2.5 km",2519
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pão & Café Móvel",-22.0169131,-47.8957907,"20 mins",1171,"1.7 km",1654
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Padaria Império dos pães",-22.000761,-47.8772982,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pao de Queijo Mineiro",-22.0217278,-47.8924953,"6 days 23 hours",600472,"819 km",818558
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pão de Queijo Brasil - Vila Prado",-22.0304268,-47.8979112,"31 mins",1887,"2.5 km",2519
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pão To Go São Carlos I",-22.0121812,-47.890563,"20 mins",1171,"1.7 km",1654
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"pao de queijo",-22.0170606,-47.8915621,NA,NA,NA,NA
