"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"USP - Universidade de São Paulo Campus de São Carlos",-22.0027496,-47.8985742,"10 mins",613,"0.9 km",915
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República CC",-22.0078611,-47.8993611,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Alojamento USP São Carlos",-22.0060314,-47.8991434,"7 mins",449,"0.7 km",665
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Baviera - São Carlos",-21.9986317,-47.8936878,"16 mins",957,"1.3 km",1283
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Frenéticas",-22.0014888,-47.8963921,"11 mins",675,"0.9 km",904
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Demorô",-22.0073317,-47.8837613,"21 mins",1244,"1.6 km",1632
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Paratudo - São Carlos",-22.0087455,-47.8869011,"17 mins",1004,"1.3 km",1323
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Cabañas",-22.0044157,-47.8952675,"7 mins",427,"0.6 km",638
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Alambique",-22.0015843,-47.8985147,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República DesteLado",-22.0062902,-47.8930144,"7 mins",420,"0.6 km",588
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Rebimboca",-21.9976563,-47.8918968,"18 mins",1051,"1.4 km",1386
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Várzea",-21.9947729,-47.903728,"26 mins",1546,"2.1 km",2142
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Bob Nelson",-22.0070133,-47.8930834,"9 mins",510,"0.7 km",689
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"República Área 51",-22.0018146,-47.9013809,"5 days 9 hours",462834,"614 km",614192
