"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Iguatemi São Carlos",-22.0175052,-47.9150029,"40 mins",2375,"3.2 km",3184
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Passeio São Carlos",-22.005136,-47.9042062,"19 mins",1136,"1.5 km",1521
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"América Shopping Mall",-21.9973028,-47.9143825,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Galeria Extra São Carlos",-22.0173433,-47.9151741,"39 mins",2348,"3.1 km",3146
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Shopping Beira Rio",-22.0204938,-47.8901512,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Froteg shoppings",-22.0116511,-47.922081,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Zahra Pratas",-22.0116124,-47.8995577,"11 mins",650,"0.9 km",892
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Ótica Anderson Glasses",-22.028719,-47.9056877,"44 mins",2655,"3.4 km",3412
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Gisele Durigon Studio Hair",-21.9944352,-47.89921,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"CVC Shopping Passeio São Carlos",-22.0045252,-47.9048747,"18 mins",1107,"1.5 km",1483
